result,time,trial,has_solved
'269314785548769231731852649126437958895621473374985126457193862983246517612578394',0:00:01.360445,1,True
'152678943864391752973245681215763894497582136638914527321856479549127368786439215',0:00:21.941690,32,True
'4...7.1....19.46.5.....1......7....2..2.3....847..6....14...8.6.2....3..6...9....',0:02:10.544380,200,False
'253479861761238594894516732326791458915824376487653219548167923132985647679342185',0:00:00.410901,0,True
'963741258152398674874265391345872169218956743697134825721489536589623417436517982',0:00:01.201788,2,True
'152398647973641285864572931598714362247936158316285794725463819431829576689157423',0:00:02.723756,2,True
'946731582157248639832659471719423865584976123623815947461397258398562714275184396',0:00:07.111022,15,True
'932475861617928534845613279568741392429836715173259648356192487294387156781564923',0:00:04.461036,6,True
'618459723342867519579123468296534187784291635153786294927648351861375942435912876',0:00:00.317190,0,True
'957261384846537921123489567734926815295814736618375492572198643481653279369742158',0:00:00.339054,1,True
'132749685857361924964285371216457839348692157579813246421536798683974512795128463',0:00:12.169465,27,True
'7.65.3.......6.75.5.8....1636..2.......4.1.......3...567....2.8..4.7.......2..5..',0:03:51.647263,200,False
'956327841127486395834951267548739612271864539369215478793548126415692783682173954',0:00:23.162072,42,True
'935748621876231594124695783512469378643872915789153462267514839491386257358927146',0:00:02.275915,1,True
'143258679872964153695137482986541327451372968237896514719623845564789231328415796',0:00:01.574828,2,True
'937658241864291735125734986583419627649372518712586493471963852396825174258147369',0:00:08.225018,9,True
'924361758156478293837592641613247985749185326582936174498623517371859462265714839',0:00:45.200150,50,True
'856491372143572698927368451278645139514923786639817245361789524485236917792154863',0:00:12.532492,14,True
'659412378238679451741385296865723149427891635913546782396157824574268913182934567',0:00:07.710384,20,True
'354186927298743615167952483481527369932614578576398241729865134845231796613479852',0:00:04.895874,11,True
